Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127192.0, shr = 27088.0, s = 'S', cpu = 13.2, mem = 0.8, time = "0:01.11"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127192.0, shr = 27088.0, s = 'R', cpu = 6.7, mem = 0.8, time = "0:01.12"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127192.0, shr = 27088.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.13"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127192.0, shr = 27088.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.14"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127456.0, shr = 27352.0, s = 'R', cpu = 6.7, mem = 0.8, time = "0:01.15"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127456.0, shr = 27352.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.17"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127456.0, shr = 27352.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.18"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127456.0, shr = 27352.0, s = 'R', cpu = 13.3, mem = 0.8, time = "0:01.20"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127456.0, shr = 27352.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.21"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127720.0, shr = 27616.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.22"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127720.0, shr = 27616.0, s = 'R', cpu = 13.3, mem = 0.8, time = "0:01.24"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127720.0, shr = 27616.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.25"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127720.0, shr = 27616.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.26"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127720.0, shr = 27616.0, s = 'R', cpu = 13.3, mem = 0.8, time = "0:01.29"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127720.0, shr = 27616.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.30"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127720.0, shr = 27616.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.31"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127720.0, shr = 27616.0, s = 'R', cpu = 13.3, mem = 0.8, time = "0:01.33"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127720.0, shr = 27616.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.34"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127720.0, shr = 27616.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.36"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'R', cpu = 6.7, mem = 0.8, time = "0:01.37"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.39"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.41"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'R', cpu = 6.7, mem = 0.8, time = "0:01.42"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.44"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.45"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'R', cpu = 13.3, mem = 0.8, time = "0:01.47"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.49"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.50"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'R', cpu = 13.3, mem = 0.8, time = "0:01.52"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.53"}
