Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 127308.0, shr = 27208.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.18"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 127308.0, shr = 27208.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.20"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 127572.0, shr = 27380.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.21"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 127572.0, shr = 27380.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.23"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 127572.0, shr = 27380.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.25"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 127572.0, shr = 27380.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.26"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 127572.0, shr = 27380.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.28"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 127572.0, shr = 27380.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.30"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 127572.0, shr = 27380.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.31"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 127836.0, shr = 27544.0, s = 'R', cpu = 13.2, mem = 0.8, time = "0:01.33"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 127836.0, shr = 27544.0, s = 'S', cpu = 20.0, mem = 0.8, time = "0:01.36"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 127836.0, shr = 27544.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.38"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 127836.0, shr = 27544.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.39"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 127836.0, shr = 27544.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.41"}
