Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127420.0, shr = 27128.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.22"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127420.0, shr = 27128.0, s = 'R', cpu = 6.7, mem = 0.8, time = "0:01.23"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127420.0, shr = 27128.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.25"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127420.0, shr = 27128.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.26"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127684.0, shr = 27392.0, s = 'R', cpu = 13.3, mem = 0.8, time = "0:01.28"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127684.0, shr = 27392.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.30"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127684.0, shr = 27392.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.32"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127684.0, shr = 27392.0, s = 'R', cpu = 13.3, mem = 0.8, time = "0:01.34"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127684.0, shr = 27392.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.36"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127684.0, shr = 27392.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.38"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127684.0, shr = 27392.0, s = 'R', cpu = 13.3, mem = 0.8, time = "0:01.41"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127684.0, shr = 27392.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.43"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127684.0, shr = 27392.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.44"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127684.0, shr = 27392.0, s = 'R', cpu = 13.3, mem = 0.8, time = "0:01.46"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127684.0, shr = 27392.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.48"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127684.0, shr = 27392.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.50"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127684.0, shr = 27392.0, s = 'R', cpu = 13.3, mem = 0.8, time = "0:01.52"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127684.0, shr = 27392.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.54"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.56"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.57"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.59"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.61"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 20.0, mem = 0.8, time = "0:01.64"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.65"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.67"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.69"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.70"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'R', cpu = 13.3, mem = 0.8, time = "0:01.72"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 20.0, mem = 0.8, time = "0:01.75"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.76"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.79"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.81"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'R', cpu = 13.3, mem = 0.8, time = "0:01.83"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.85"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.87"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.88"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.90"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.91"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.93"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.94"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.96"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.97"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.98"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.01"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.02"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.04"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.05"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.07"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.08"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.6, mem = 0.8, time = "0:02.09"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.11"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.13"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.14"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.15"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.17"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.18"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.20"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.21"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.23"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.24"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.26"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.27"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.28"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.30"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.31"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.33"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.34"}
