Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 118616.0, shr = 27040.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:01.23"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 118616.0, shr = 27040.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:01.25"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 118616.0, shr = 27040.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:01.27"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 118616.0, shr = 27040.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:01.29"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 118616.0, shr = 27040.0, s = 'S', cpu = 19.9, mem = 0.7, time = "0:01.32"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 118880.0, shr = 27304.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:01.34"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 118880.0, shr = 27304.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:01.36"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 118880.0, shr = 27304.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:01.38"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 118880.0, shr = 27304.0, s = 'S', cpu = 6.6, mem = 0.7, time = "0:01.39"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 118880.0, shr = 27304.0, s = 'S', cpu = 20.0, mem = 0.7, time = "0:01.42"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 118880.0, shr = 27304.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:01.43"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 118880.0, shr = 27304.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:01.45"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:01.47"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'R', cpu = 13.3, mem = 0.7, time = "0:01.49"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:01.51"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:01.53"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:01.55"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:01.57"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:01.58"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'R', cpu = 20.0, mem = 0.7, time = "0:01.61"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:01.63"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:01.64"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:01.66"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:01.68"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:01.69"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:01.71"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:01.73"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:01.75"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:01.78"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:01.79"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'R', cpu = 13.3, mem = 0.7, time = "0:01.81"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:01.83"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:01.85"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:01.86"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:01.87"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:01.89"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:01.91"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:01.92"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:01.94"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:01.95"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:01.97"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:01.98"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:02.00"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:02.02"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:02.03"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:02.05"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:02.06"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:02.07"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:02.09"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:02.10"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:02.12"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:02.13"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:02.15"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119144.0, shr = 27568.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:02.17"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:02.18"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:02.20"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'R', cpu = 6.7, mem = 0.7, time = "0:02.21"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:02.22"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:02.24"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'R', cpu = 6.7, mem = 0.7, time = "0:02.25"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:02.27"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:02.29"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'R', cpu = 6.7, mem = 0.7, time = "0:02.30"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:02.32"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:02.33"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:02.35"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:02.36"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:02.37"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:02.39"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:02.40"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 20.0, mem = 0.7, time = "0:02.43"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:02.44"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:02.46"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:02.47"}
